name,population,lat,lon
New York,8491079,40.6643,-73.9385
Los Angeles,3792621,34.0194,-118.4108
Chicago,2695598,41.8376,-87.6818
Houston,2239558,29.7805,-95.3863
Philadelphia,1560297,40.0094,-75.1333
Phoenix,1445632,33.5722,-112.088
San Antonio,1327407,29.4724,-98.5251
San Diego,1307402,32.8153,-117.135
Dallas,1197816,32.7757,-96.7967
San Jose,945942,37.2969,-121.8193
Austin,790390,30.3072,-97.756
Jacksonville,853382,30.337,-81.6613
San Francisco,852469,37.7751,-122.4193
Indianapolis,848788,39.7767,-86.1459
Columbus,787033,39.9848,-82.985
Fort Worth,741206,32.7795,-97.3463
Charlotte,731424,35.2087,-80.8307
Detroit,713777,42.383,-83.1022
El Paso,649121,31.8484,-106.427
Seattle,608660,47.6205,-122.3509
Denver,663862,39.7618,-104.8806
Washington,658893,38.9041,-77.0171
Memphis,646889,35.1035,-89.9785
Boston,617594,42.332,-71.0202
Nashville,644014,36.1718,-86.785
Baltimore,622793,39.3002,-76.6105
Oklahoma City,579999,35.4671,-97.5137
Portland,583776,45.537,-122.65
Las Vegas,583756,36.2277,-115.264
Louisville,612780,38.1781,-85.6667
Milwaukee,594833,43.0633,-87.9667
Albuquerque,545852,35.1056,-106.6474
Tucson,520116,32.1543,-110.8711
Fresno,494665,36.7827,-119.7945
Sacramento,466488,38.5666,-121.4686
Long Beach,462257,33.8091,-118.1553
Kansas City,459787,39.1252,-94.5511
Mesa,439041,33.4019,-111.7174
Atlanta,420003,33.7629,-84.4227
Virginia Beach,450980,36.7793,-76.024
Omaha,408958,41.2647,-96.0419
Colorado Springs,416427,38.8673,-104.7607
Raleigh,403892,35.8302,-78.6414
Miami,399457,25.7752,-80.2086
Oakland,390724,37.7699,-122.2256
Minneapolis,382578,44.9633,-93.2683
Tulsa,391906,36.1279,-95.9023
Cleveland,396815,41.4781,-81.6795
Wichita,382368,37.6907,-97.3427
New Orleans,384320,30.0686,-89.939